run,save,coverageErrorMs,coveragePassed,cpuMean,frames,gpuMean,localSchedulerIntervalCount,mode,process:accepted_draw_dispatch,process:accepted_draw_observer_candidate,process:colour_copy_sanitation,process:d3d_lock_execution,process:guide_encoding,process:input_preparation,process:leaf_csx,process:leaf_d3d11,process:leaf_kernel_sync,process:leaf_ngx_dlss,process:leaf_nvidia_um,process:leaf_openvr,process:leaf_other,process:leaf_skyrim,process:leaf_streamline,process:material_guard_union,process:material_probe,process:material_should_skip,process:native_resolved_render,process:native_stereo_boundary,process:native_unresolved,process:per_eye_submit,process:presentation_mutex_candidate,process:readback_wrapper,process:relatch_service,process:render_wrapper,process:retain_light,process:retain_scene,process:retention_allocator,process:retention_folded_reference_candidate,process:retention_hash,process:retention_reference,process:retention_spin,process:retention_vector,process:submit_upscaled_frame,process:temporal_union,process:truepbr_material_predicate,process:vendor_evaluate,processMissingStackMs,processSampled,processUnresolvedCsxMs,ready,readyPct,recordedFps,render:accepted_draw_dispatch,render:accepted_draw_observer_candidate,render:colour_copy_sanitation,render:d3d_lock_execution,render:guide_encoding,render:input_preparation,render:leaf_csx,render:leaf_d3d11,render:leaf_kernel_sync,render:leaf_ngx_dlss,render:leaf_nvidia_um,render:leaf_openvr,render:leaf_other,render:leaf_skyrim,render:leaf_streamline,render:material_guard_union,render:material_probe,render:material_should_skip,render:native_resolved_render,render:native_stereo_boundary,render:native_unresolved,render:per_eye_submit,render:presentation_mutex_candidate,render:readback_wrapper,render:relatch_service,render:render_wrapper,render:retain_light,render:retain_scene,render:retention_allocator,render:retention_folded_reference_candidate,render:retention_hash,render:retention_reference,render:retention_spin,render:retention_vector,render:submit_upscaled_frame,render:temporal_union,render:truepbr_material_predicate,render:vendor_evaluate,renderMissingStackMs,renderSampled,renderUnresolvedCsxMs,running,runningPct,wait,waitPct
Original,08,0.16430000077707518,True,4.664,599,10.41,18859,DLAA,0.0,0.0,0.0066729549248747905,0.003373789649415693,0.0,0.005009515859766277,1.4436754590984944,1.318709348914858,22.26048146911517,0.04843088480801336,3.839757595993323,0.10587762938230383,6.690858931552583,12.256591986644402,0.020030550918196995,0.0,0.0,0.0,0.0,0.0,12.256591986644402,0.10556227045075121,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.15365242070116863,488.07850000000013,47.98441385642752,0.0,0.08938747913220482,0.5354310000019069,59.9,0.0,0.0,0.0066729549248747905,0.003373789649415693,0.0,0.005009515859766277,1.4233088480801304,1.310362103505843,1.5565106844741217,0.04843088480801336,0.5770212020033387,0.09586210350584307,1.6129135225375626,6.3119128547579315,0.01836110183639399,0.0,0.0,0.0,0.0,0.0,6.3119128547579315,0.10556227045075121,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.15365242070116863,46.487399999999994,12.954683305509192,0.0,13.002155759600482,77.88291300000688,3.6032218697828027,21.583298999998988
Original,09,0.20850000017344428,True,3.602,628,9.537,25085,DLAA,0.0,0.0,0.0015931528662420382,0.004778662420382165,0.0,0.006370222929936305,1.1310305732484067,0.9588511146496813,6.906041878980895,0.04457834394904458,3.721326592356689,0.14090573248407645,5.707478025477709,8.04829824840765,0.012732802547770702,0.0,0.0,0.0,0.0,0.0,8.04829824840765,0.8419367834394903,0.0015896496815286623,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11781210191082797,253.28840000000002,26.671243312101954,0.0,0.06377372611580318,0.4004990000072439,62.8,0.0,0.0,0.0015931528662420382,0.004778662420382165,0.0,0.006370222929936305,1.1135146496815278,0.9492969745222928,1.324208439490446,0.04457834394904458,0.9774869426751591,0.13772101910828027,1.3279278662420393,3.3189754777070086,0.011140445859872613,0.0,0.0,0.0,0.0,0.0,3.3189754777070086,0.8419367834394903,0.0015896496815286623,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.11781210191082797,34.13999999999999,9.204850159235697,0.0,9.178809076432115,57.642920999993684,6.681316082802676,41.9586650000008
Original,10,0.11930001170912874,True,2.937,600,10.036,17893,DLAA,0.0,0.0,0.0016666666666666668,0.003335166666666667,0.0,0.005003833333333332,1.2558390000000008,1.0154348333333334,18.86497533333333,0.04668416666666667,3.498258666666669,0.13059416666666668,6.2494461666666625,8.762814166666676,0.02168583333333333,0.0,0.0,0.0,0.0,0.0,8.762814166666676,0.115933,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13170849999999995,366.7282,39.845732333333075,0.0,0.09260200002017882,0.5556120001210729,60.0,0.0,0.0,0.0016666666666666668,0.003335166666666667,0.0,0.005003833333333332,1.2423555000000008,1.0087681666666666,1.333721333333333,0.04668416666666667,0.49568133333333303,0.12892750000000003,1.5070293333333338,4.397857166666669,0.02168583333333333,0.0,0.0,0.0,0.0,0.0,4.397857166666669,0.115933,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13170849999999995,21.0814,10.182710333333343,0.0,10.171321166664605,61.02792699998763,6.402942333334731,38.41765400000838
Original,11,4.253400003819479,True,7.784,1048,7.835,55275,DLSS,0.0,0.0,0.0028632633587786257,0.0029341603053435117,0.007636354961832062,0.0,1.1917890267175568,0.8148634541984733,21.506620324427455,0.05250916030534352,2.9883332061068706,0.11893406488549624,8.526824427480896,13.92099990458015,0.02100181297709924,0.0,0.0,0.0,0.0,0.0,13.92099990458015,0.5870563931297712,0.00095543893129771,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2673568702290078,,0.0,0.11838673664122137,773.8592000000007,49.14187538167954,0.0,0.11235400763671467,1.1774700000327698,104.8,0.0,0.0,0.0028632633587786257,0.0029341603053435117,0.007636354961832062,0.0,1.1716852099236637,0.8091382633587786,1.6666707061068697,0.05250916030534352,0.5085196564885494,0.1179798664122138,1.3642749045801534,3.286155725190835,0.020047614503816796,0.0,0.0,0.0,0.0,0.0,3.286155725190835,0.5870563931297712,0.00095543893129771,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2673568702290078,,0.0,0.11838673664122137,58.270100000000006,8.996981106870233,0.0,8.971346660306633,94.01971300001351,0.4623426526709849,4.845350999991922
Original,12,1.3675000140538032,True,6.854,1058,7.576,34057,DLSS,0.0,0.0,0.004727788279773158,0.004762759924385633,0.007564366729678639,0.0,0.9417798676748573,0.719425236294895,6.726883553875249,0.058613043478260865,3.186246408317579,0.12893241965973534,4.685694328922495,12.219905198487712,0.016078166351606808,0.0,0.0,0.0,0.0,0.0,12.219905198487712,1.4196996219281677,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27048440453686184,,0.0,0.13432854442344042,333.68870000000004,28.68355822306238,0.0,0.047603024583321024,0.5036400000915364,105.8,0.0,0.0,0.004727788279773158,0.004762759924385633,0.007564366729678639,0.0,0.9332110586011333,0.715644517958411,1.5839526465028357,0.058613043478260865,1.1004732514177704,0.12515170132325143,1.1474482986767482,3.0688666351606786,0.015132986767485826,0.0,0.0,0.0,0.0,0.0,3.0688666351606786,1.4196996219281677,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27048440453686184,,0.0,0.13432854442344042,49.387100000000004,8.748494139886589,0.0,8.709337240077005,92.1447880000147,0.6961481096440725,7.365247000034287
Original,13,2.7528000030761177,True,8.675,599,10.259,19037,DLSS,0.0,0.0,0.006678797996661103,0.008466277128547578,0.008347746243739565,0.0,2.0589278797996666,1.4721405676126886,8.00347662771286,0.06514991652754591,4.453162938230386,0.11607579298831384,5.34027061769616,22.84784757929886,0.020044240400667785,0.0,0.0,0.0,0.0,0.0,22.84784757929886,0.4238373956594323,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30246327212020035,,0.0,0.14699248747913193,263.70860000000005,44.377096160266994,0.0,0.046211018368224256,0.2768040000256633,59.9,0.0,0.0,0.006678797996661103,0.008466277128547578,0.008347746243739565,0.0,2.0304644407345585,1.4620056761268792,2.1560395659432365,0.06514991652754591,0.6790161936560932,0.11440634390651085,1.6263784641068466,6.507554424040059,0.01837479131886478,0.0,0.0,0.0,0.0,0.0,6.507554424040059,0.4238373956594323,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30246327212020035,,0.0,0.14699248747913193,44.0779,14.659389816360559,0.0,14.623291318864093,87.59351499999592,2.0295841402352544,12.157209000009175
Today R1,08,0.15850000123828067,True,5.655,600,10.35,,DLAA,0.0,0.0,0.0,0.0,0.0,0.008338666666666666,1.5734830000000013,1.5054839999999976,7.0727681666666635,0.04500833333333334,4.1832340000000015,0.1119321666666667,4.773186333333333,12.890230166666667,0.016670833333333333,0.0,0.0,0.0,0.0,0.0,12.890230166666667,0.1174743333333333,0.0,0.06673933333333333,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07007266666666667,0.0,0.15006399999999995,260.5932,32.17199700000001,0.0,0.0609905000014758,0.3659430000088548,60.0,0.0,0.0,0.0,0.0,0.0,0.008338666666666666,1.5399611666666682,1.497150666666664,1.509335999999999,0.04500833333333334,0.6079160000000001,0.10359883333333335,1.5060883333333324,6.762408833333348,0.015004166666666666,0.0,0.0,0.0,0.0,0.0,6.762408833333348,0.1174743333333333,0.0,0.06673933333333333,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07007266666666667,0.0,0.15006399999999995,44.169200000000004,13.586472333333328,0.0,13.676478500000387,82.05887100000233,2.929461833333534,17.576771000001205
Today R1,09,1.8379999936005333,True,5.755,913,8.532,,DLAA,0.0,0.0,0.004381161007667032,0.0,0.0,0.009855859802847755,0.9699047097480834,0.9938722891566265,7.347534392113902,0.05807316538882805,3.641026834611167,0.14043044906900332,4.996354874041616,7.596952135815988,0.0329591456736035,0.0,0.0,0.0,0.0,0.0,7.596952135815988,1.2038760131434831,0.0010944140197152246,0.05303110624315444,0.0,0.0021921139101861993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055223220153340635,0.0,0.156644578313253,484.2051,25.77710799561885,0.0,0.08609649506540563,0.7860609999471535,91.3,0.0,0.0,0.004381161007667032,0.0,0.0,0.009855859802847755,0.962241182913472,0.9862052573932093,1.3904168674698791,0.05807316538882805,1.1969719605695521,0.13385870755750276,1.2232104052573929,3.0705010952902527,0.0329591456736035,0.0,0.0,0.0,0.0,0.0,3.0705010952902527,1.2038760131434831,0.0010944140197152246,0.05303110624315444,0.0,0.0021921139101861993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055223220153340635,0.0,0.156644578313253,76.26369999999999,9.054437787513702,0.0,9.08993198247249,82.99107899997384,1.7788871851056967,16.24124000001501
Today R1,10,1.007100025213731,True,5.916,1012,8.299,,DLAA,0.0,0.0,0.0,0.0,0.0,0.001975395256916996,1.0260192687747034,0.959298023715414,6.1505920948616675,0.03565444664031621,3.802468972332017,0.10125918972332018,4.370861462450593,7.021380039525686,0.02781788537549407,0.0,0.0,0.0,0.0,0.0,7.021380039525686,1.183942588932805,0.0,0.0365695652173913,0.0,0.004941403162055336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041510968379446636,0.0,0.11372924901185771,364.55219999999997,23.49535138339926,0.0,0.05620266800756443,0.568771000236552,101.2,0.0,0.0,0.0,0.0,0.0,0.001975395256916996,1.020090415019763,0.9523810276679832,1.423516501976284,0.03565444664031621,1.2593678853754926,0.09928290513833996,1.1152155138339925,3.483122628458496,0.02682974308300395,0.0,0.0,0.0,0.0,0.0,3.483122628458496,1.183942588932805,0.0,0.0365695652173913,0.0,0.004941403162055336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041510968379446636,0.0,0.11372924901185771,72.4227,9.415461067193702,0.0,9.352300592881791,94.64528199996374,0.47391482213951036,4.796018000051845
Today R1,11,1.2718999939825153,True,8.297,973,7.485,,DLSS,0.0,0.0,0.005133299075025694,0.0,0.012334635149023637,0.0,1.308970298047275,0.9036924974306262,20.77993042137715,0.06476824254881809,2.900505344295992,0.11734604316546761,7.216559609455291,14.497218807810915,0.029815519013360745,0.0,0.0,0.0,0.0,0.0,14.497218807810915,0.49681942446043215,0.001027338129496403,0.008299691675231244,0.0,0.0010271325796505652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3455454265159305,0.00932682425488181,0.0,0.20460719424460438,770.3526999999997,47.818806783145256,0.0,0.16086269269770123,1.565193999948633,97.3,0.0,0.0,0.005133299075025694,0.0,0.012334635149023637,0.0,1.2893946557040066,0.8964982528263096,1.9313598150051368,0.06476824254881809,0.406217060637205,0.10912404933196299,1.4356551901336052,3.478584378211709,0.029815519013360745,0.0,0.0,0.0,0.0,0.0,3.478584378211709,0.49681942446043215,0.001027338129496403,0.008299691675231244,0.0,0.0010271325796505652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3455454265159305,0.00932682425488181,0.0,0.20460719424460438,69.2121,9.64141716341213,0.0,9.592184069886816,93.33195099999871,0.5257527235346843,5.115573999992478
