run,transition,source,destination,routeOccurrence,strictMs,strictFrames,renderFrames,renderRetries,referenceRun,referenceTransition,strictDeltaMs,renderDeltaFrames,assessment,historicalTransitionComparison,compiledSource,buildId
1,1,WindhelmExterior01,WhiterunDragonsreach,1,6384.2829,26,17,0,1,1,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,2,WhiterunDragonsreach,WindhelmExterior01,1,2045.5583,59,52,1,1,2,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,3,WindhelmExterior01,WhiterunDragonsreach,2,2605.9441,30,21,0,1,3,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,4,WhiterunDragonsreach,WindhelmExterior01,2,1950.727,68,64,0,1,4,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,5,WindhelmExterior01,WhiterunDragonsreach,3,2780.7291,30,21,0,1,5,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,6,WhiterunDragonsreach,WindhelmExterior01,3,1918.5606,64,61,0,1,6,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,7,WindhelmExterior01,WhiterunDragonsreach,4,2684.7501,32,23,0,1,7,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,8,WhiterunDragonsreach,WindhelmExterior01,4,1911.214,74,69,0,1,8,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,9,WindhelmExterior01,WhiterunDragonsreach,5,2543.5342,31,22,0,1,9,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
1,10,WhiterunDragonsreach,WindhelmExterior01,5,1984.5351,71,64,1,1,10,0.0,0,"INCONCLUSIVE: same route occurrence, sequential scene/loading history differs",unavailable: selected historical columns retain no per-transition COC strict timing or render-latch value,3baaf91b90416ad25d067cdb26c34ce293cf7a5e,5c8dfa4c9f482d14faf6cf82e06455724d317eda840b3a59db1baba961660d25
