run,save,mode,CPU mean (ms),CPU SD (ms),CPU P95 (ms),CPU P99 (ms),CPU single-frame spikes (/s),"CPU all spike episodes, including singles (/s)",CPU multi-frame spike groups (/s),CPU above-threshold sample fraction (%),CPU longest spike group (samples),CPU maximum (ms),GPU mean (ms),GPU SD (ms),GPU P95 (ms),GPU P99 (ms),GPU single-frame spikes (/s),"GPU all spike episodes, including singles (/s)",GPU multi-frame spike groups (/s),GPU above-threshold sample fraction (%),GPU longest spike group (samples),GPU maximum (ms)
Baseline R1,08,DLAA,4.839,0.626,5.505,8.01,0.1,0.5,0.4,2.0,4.0,10.8,9.98,0.07,10.1,10.1,0.0,0.0,0.0,0.0,0,10.2
Baseline R1,09,DLAA,5.457,1.948,8.3,8.85,14.7,15.0,0.2,20.37,3.0,9.7,8.968,0.1,9.1,9.3,0.0,0.0,0.0,0.0,0,9.4
Baseline R1,10,DLAA,2.922,0.162,3.2,3.6,0.0,0.0,0.0,0.0,0,3.9,9.688,0.078,9.8,9.9,0.0,0.0,0.0,0.0,0,9.9
Baseline R1,11,DLSS,8.499,2.678,12.3,15.8,20.5,23.4,2.8,28.28,3.0,17.9,8.4,0.946,8.955,13.471,3.5,3.6,0.0,3.87,1.0,16.0
Baseline R1,12,DLSS,8.492,2.683,12.435,15.4,20.5,21.9,1.3,26.77,3.0,17.1,8.921,0.382,9.3,10.608,0.9,0.9,0.0,1.03,1.0,13.8
Baseline R1,13,DLSS,14.532,4.562,22.8,25.96,0.4,2.5,2.1,38.57,59.0,29.6,12.001,1.226,14.775,16.2,4.5,5.0,0.4,9.56,3.0,20.9
Baseline R2,08,DLAA,4.737,0.145,5.0,5.3,0.0,0.0,0.0,0.0,0,5.7,10.048,0.07,10.2,10.2,0.0,0.0,0.0,0.0,0,10.3
Baseline R2,09,DLAA,5.442,1.938,8.2,8.7,16.0,16.7,0.7,23.14,2.0,9.2,8.971,0.099,9.145,9.3,0.0,0.0,0.0,0.0,0,9.5
Baseline R2,10,DLAA,3.081,0.419,3.4,4.102,0.0,0.2,0.2,0.67,2.0,8.9,9.686,0.068,9.8,9.8,0.0,0.0,0.0,0.0,0,9.9
Baseline R2,11,DLSS,8.451,2.753,12.3,16.924,19.8,22.7,2.9,27.37,3.0,19.2,8.44,0.866,9.1,13.3,3.7,3.7,0.0,3.94,1.0,15.5
Baseline R2,12,DLSS,8.25,2.672,12.4,15.1,17.4,19.8,2.4,26.11,4.0,18.1,8.85,0.345,9.2,10.186,0.5,0.5,0.0,0.58,1.0,13.8
Baseline R2,13,DLSS,19.775,4.903,28.16,32.076,1.9,7.5,5.6,35.62,11.0,35.1,13.535,1.761,16.86,19.828,5.4,6.7,1.3,16.76,5.0,22.6
Baseline R3,08,DLAA,5.064,0.868,5.6,10.103,0.1,0.6,0.5,3.17,5.0,12.3,10.004,0.081,10.1,10.3,0.0,0.0,0.0,0.0,0,10.6
Baseline R3,09,DLAA,5.577,2.007,8.5,9.355,16.5,16.9,0.4,23.19,2.0,12.1,9.043,0.108,9.2,9.4,0.0,0.0,0.0,0.0,0,9.9
Baseline R3,10,DLAA,3.137,0.178,3.5,3.9,0.0,0.0,0.0,0.0,0,4.2,9.732,0.057,9.8,9.9,0.0,0.0,0.0,0.0,0,9.9
Baseline R3,11,DLSS,8.91,2.897,13.0,17.654,21.7,23.3,1.6,29.75,4.0,21.6,8.538,1.064,9.3,14.216,3.3,3.3,0.0,3.9,1.0,18.2
Baseline R3,12,DLSS,8.443,2.676,12.7,14.841,17.3,19.7,2.4,26.51,8.0,19.6,8.918,0.382,9.2,10.741,0.9,0.9,0.0,1.05,1.0,14.0
Baseline R3,13,DLSS,17.745,5.003,25.4,26.63,0.6,2.7,2.1,36.35,49.0,29.1,12.396,1.157,15.1,15.9,5.1,5.3,0.2,9.57,2.0,18.2
Head R1,08,DLAA,10.744,5.575,21.575,23.535,0.4,3.9,3.5,39.58,22.0,28.9,10.472,0.564,11.5,11.935,0.5,0.5,0.0,0.88,1.0,12.6
Head R1,09,DLAA,5.717,2.067,8.8,10.037,15.3,16.1,0.8,22.25,3.0,12.1,9.005,0.115,9.2,9.437,0.0,0.0,0.0,0.0,0,10.0
Head R1,10,DLAA,3.178,0.262,3.6,4.1,0.1,0.1,0.0,0.17,1.0,6.8,9.789,0.065,9.9,9.9,0.0,0.0,0.0,0.0,0,10.4
Head R1,11,DLSS,9.189,2.836,13.1,17.662,16.2,20.9,4.7,27.58,3.0,22.3,8.609,1.166,9.2,15.524,3.5,3.5,0.0,3.73,1.0,18.6
Head R1,12,DLSS,8.679,2.747,12.8,15.255,9.6,16.2,6.5,25.79,4.0,20.9,8.911,0.595,9.3,11.51,1.3,1.3,0.0,1.37,1.0,18.2
Head R1,13,DLSS,17.173,4.76,24.595,26.757,0.5,2.2,1.7,36.94,57.0,34.5,12.636,1.33,15.595,17.619,5.8,5.9,0.1,10.31,2.0,19.0
Head R2,08,DLAA,5.054,0.735,5.5,6.405,0.0,0.1,0.1,1.0,6.0,14.4,10.049,0.087,10.2,10.2,0.0,0.0,0.0,0.0,0,10.9
Head R2,09,DLAA,5.493,1.961,8.4,8.9,16.7,17.0,0.2,23.38,3.0,10.6,9.029,0.098,9.2,9.4,0.0,0.0,0.0,0.0,0,9.5
Head R2,10,DLAA,3.032,0.263,3.3,4.104,0.1,0.2,0.1,0.5,2.0,6.0,9.683,0.071,9.8,9.8,0.0,0.0,0.0,0.0,0,10.0
Head R2,11,DLSS,8.835,2.624,12.5,16.43,4.4,11.3,6.8,26.05,10.0,17.4,8.24,0.565,8.6,11.43,2.2,2.2,0.0,2.05,1.0,14.0
Head R2,12,DLSS,8.398,2.693,12.4,15.2,8.2,15.3,7.0,26.92,7.0,20.5,8.846,0.513,9.1,10.83,1.1,1.1,0.0,1.18,1.0,17.3
Head R2,13,DLSS,13.231,3.458,20.8,24.003,1.0,2.5,1.5,25.08,75.0,26.3,11.75,0.93,13.415,15.203,3.0,3.4,0.4,6.35,2.0,17.9
Head R3,08,DLAA,4.918,0.55,5.2,6.401,0.0,0.1,0.1,0.67,4.0,13.1,9.996,0.076,10.1,10.1,0.0,0.0,0.0,0.0,0,10.9
Head R3,09,DLAA,5.471,1.973,8.4,8.8,16.7,17.2,0.5,23.47,2.0,12.0,8.969,0.097,9.1,9.3,0.0,0.0,0.0,0.0,0,9.6
Head R3,10,DLAA,2.901,0.191,3.3,3.7,0.0,0.0,0.0,0.0,0,4.6,9.601,0.058,9.7,9.7,0.0,0.0,0.0,0.0,0,9.8
Head R3,11,DLSS,9.01,2.763,12.9,17.227,5.1,12.1,7.0,23.0,7.0,21.5,8.277,0.491,8.7,10.6,1.6,1.6,0.0,1.49,1.0,15.5
Head R3,12,DLSS,7.833,2.571,12.2,14.2,10.0,17.2,7.1,29.08,5.0,16.0,8.934,0.21,9.2,9.6,0.2,0.2,0.0,0.22,1.0,12.1
Head R3,13,DLSS,11.321,2.175,15.23,19.215,2.0,4.0,2.0,19.23,23.0,27.0,11.34,0.617,12.5,13.903,0.8,0.9,0.1,1.84,3.0,17.2
