run,save,scope,category,frames,weightMs,sampleCount,msPerFrame,shareOfSampledExecutionPct
Original traced baseline,08,render,legacy_guard_union,599,0.0,0,0.0,0.0
Original traced baseline,08,render,expanded_guard_union,599,0.0,0,0.0,0.0
Original traced baseline,08,render,expanded_guard_and_pbr_union,599,0.0,0,0.0,0.0
Original traced baseline,08,render,named_material_leaf,599,0.0,0,0.0,0.0
Original traced baseline,08,render,should_skip,599,0.0,0,0.0,0.0
Original traced baseline,08,render,probe,599,0.0,0,0.0,0.0
Original traced baseline,08,render,pbr_predicate,599,0.0,0,0.0,0.0
Original traced baseline,08,render,rejection_logger,599,0.0,0,0.0,0.0
Original traced baseline,08,render,logger_descendant_in_guard,599,0.0,0,0.0,0.0
Original traced baseline,08,process,legacy_guard_union,599,0.0,0,0.0,0.0
Original traced baseline,08,process,expanded_guard_union,599,0.0,0,0.0,0.0
Original traced baseline,08,process,expanded_guard_and_pbr_union,599,0.0,0,0.0,0.0
Original traced baseline,08,process,named_material_leaf,599,0.0,0,0.0,0.0
Original traced baseline,08,process,should_skip,599,0.0,0,0.0,0.0
Original traced baseline,08,process,probe,599,0.0,0,0.0,0.0
Original traced baseline,08,process,pbr_predicate,599,0.0,0,0.0,0.0
Original traced baseline,08,process,rejection_logger,599,0.0,0,0.0,0.0
Original traced baseline,08,process,logger_descendant_in_guard,599,0.0,0,0.0,0.0
Original traced baseline,11,render,legacy_guard_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,expanded_guard_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,expanded_guard_and_pbr_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,named_material_leaf,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,should_skip,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,probe,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,pbr_predicate,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,rejection_logger,1048,0.0,0,0.0,0.0
Original traced baseline,11,render,logger_descendant_in_guard,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,legacy_guard_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,expanded_guard_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,expanded_guard_and_pbr_union,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,named_material_leaf,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,should_skip,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,probe,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,pbr_predicate,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,rejection_logger,1048,0.0,0,0.0,0.0
Original traced baseline,11,process,logger_descendant_in_guard,1048,0.0,0,0.0,0.0
Original traced baseline,09,render,legacy_guard_union,628,0.0,0,0.0,0.0
Original traced baseline,09,render,expanded_guard_union,628,0.0,0,0.0,0.0
Original traced baseline,09,render,expanded_guard_and_pbr_union,628,0.0,0,0.0,0.0
