run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R1,08,DLAA,cpuTailMeanMs,8.071,2.314,3.407
Current R2,08,DLAA,cpuTailMeanMs,7.919,2.162,3.255
Current interrupted,08,DLAA,cpuTailMeanMs,10.572,4.8149999999999995,5.9079999999999995
Current R3,08,DLAA,cpuTailMeanMs,8.724,2.9670000000000005,4.0600000000000005
Current R1,08,DLAA,gpuTailMeanMs,9.289,-0.5250000000000004,-1.1210000000000004
Current R2,08,DLAA,gpuTailMeanMs,9.351,-0.4629999999999992,-1.0589999999999993
Current interrupted,08,DLAA,gpuTailMeanMs,9.359,-0.45500000000000007,-1.0510000000000002
Current R3,08,DLAA,gpuTailMeanMs,9.197,-0.6170000000000009,-1.213000000000001
Current R1,08,DLAA,cpuTailP95Ms,14.07,7.970000000000001,8.870000000000001
Current R2,08,DLAA,cpuTailP95Ms,12.5,6.4,7.3
Current interrupted,08,DLAA,cpuTailP95Ms,20.775,14.674999999999999,15.575
Current R3,08,DLAA,cpuTailP95Ms,12.5,6.4,7.3
Current R1,08,DLAA,cpuTailP99Ms,20.057,11.639999999999999,10.844999999999999
Current R2,08,DLAA,cpuTailP99Ms,13.093,4.676,3.8810000000000002
Current interrupted,08,DLAA,cpuTailP99Ms,22.295,13.878000000000002,13.083000000000002
Current R3,08,DLAA,cpuTailP99Ms,13.084,4.667,3.872
Current R1,08,DLAA,gpuTailP95Ms,10.0,0.09999999999999964,-0.5999999999999996
Current R2,08,DLAA,gpuTailP95Ms,9.9,0.0,-0.6999999999999993
Current interrupted,08,DLAA,gpuTailP95Ms,10.1,0.1999999999999993,-0.5
Current R3,08,DLAA,gpuTailP95Ms,9.6,-0.3000000000000007,-1.0
Current R1,08,DLAA,gpuTailP99Ms,10.457,0.45700000000000074,-0.4429999999999996
Current R2,08,DLAA,gpuTailP99Ms,10.0,0.0,-0.9000000000000004
Current interrupted,08,DLAA,gpuTailP99Ms,10.4,0.40000000000000036,-0.5
Current R3,08,DLAA,gpuTailP99Ms,9.8,-0.1999999999999993,-1.0999999999999996
Current R1,08,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,4.3,4.3,4.1
Current R2,08,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,18.2,18.2,18.0
Current interrupted,08,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,3.4,3.4,3.1999999999999997
Current R3,08,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,17.6,17.6,17.400000000000002
Current R1,08,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R2,08,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,08,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R3,08,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R1,08,DLAA,cpuSpikeGroups.frequencyPerSecond,10.2,10.1,9.7
Current R2,08,DLAA,cpuSpikeGroups.frequencyPerSecond,21.4,21.299999999999997,20.9
Current interrupted,08,DLAA,cpuSpikeGroups.frequencyPerSecond,5.8,5.7,5.3
Current R3,08,DLAA,cpuSpikeGroups.frequencyPerSecond,18.6,18.5,18.1
Current R1,08,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R2,08,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,08,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R3,08,DLAA,gpuSpikeGroups.frequencyPerSecond,0.0,0.0,-0.1
Current R1,08,DLAA,cpuSpikeGroups.dutyPercent,34.47,33.3,32.3
Current R2,08,DLAA,cpuSpikeGroups.dutyPercent,35.03,33.86,32.86
Current interrupted,08,DLAA,cpuSpikeGroups.dutyPercent,33.66,32.489999999999995,31.489999999999995
Current R3,08,DLAA,cpuSpikeGroups.dutyPercent,27.89,26.72,25.72
Current R1,08,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R2,08,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current interrupted,08,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R3,08,DLAA,gpuSpikeGroups.dutyPercent,0.0,0.0,-0.17
Current R1,08,DLAA,cpuSpikeGroups.maxGroupSamples,19.0,12.0,15.0
Current R2,08,DLAA,cpuSpikeGroups.maxGroupSamples,5.0,-2.0,1.0
Current interrupted,08,DLAA,cpuSpikeGroups.maxGroupSamples,19.0,12.0,15.0
Current R3,08,DLAA,cpuSpikeGroups.maxGroupSamples,5.0,-2.0,1.0
Current R1,08,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R2,08,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current interrupted,08,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R3,08,DLAA,gpuSpikeGroups.maxGroupSamples,0,0,-1.0
Current R1,09,DLAA,cpuTailMeanMs,6.192,0.19200000000000017,2.5900000000000003
Current R2,09,DLAA,cpuTailMeanMs,6.297,0.2969999999999997,2.695
Current interrupted,09,DLAA,cpuTailMeanMs,6.583,0.5830000000000002,2.9810000000000003
Current R3,09,DLAA,cpuTailMeanMs,6.494,0.4939999999999998,2.892
Current R1,09,DLAA,gpuTailMeanMs,7.683,-0.28200000000000003,-1.854000000000001
Current R2,09,DLAA,gpuTailMeanMs,7.743,-0.22199999999999953,-1.7940000000000005
Current interrupted,09,DLAA,gpuTailMeanMs,7.717,-0.24800000000000022,-1.8200000000000012
Current R3,09,DLAA,gpuTailMeanMs,7.809,-0.1559999999999997,-1.7280000000000006
Current R1,09,DLAA,cpuTailP95Ms,9.9,0.20000000000000107,2.5
Current R2,09,DLAA,cpuTailP95Ms,10.1,0.40000000000000036,2.6999999999999993
Current interrupted,09,DLAA,cpuTailP95Ms,10.2,0.5,2.799999999999999
Current R3,09,DLAA,cpuTailP95Ms,10.3,0.6000000000000014,2.9000000000000004
Current R1,09,DLAA,cpuTailP99Ms,10.2,-0.05200000000000138,1.8999999999999986
Current R2,09,DLAA,cpuTailP99Ms,10.4,0.1479999999999997,2.0999999999999996
Current interrupted,09,DLAA,cpuTailP99Ms,10.8,0.548,2.5
Current R3,09,DLAA,cpuTailP99Ms,10.7,0.4479999999999986,2.3999999999999986
Current R1,09,DLAA,gpuTailP95Ms,7.8,-0.2999999999999998,-2.2
Current R2,09,DLAA,gpuTailP95Ms,7.9,-0.1999999999999993,-2.0999999999999996
Current interrupted,09,DLAA,gpuTailP95Ms,7.9,-0.1999999999999993,-2.0999999999999996
Current R3,09,DLAA,gpuTailP95Ms,8.0,-0.09999999999999964,-2.0
Current R1,09,DLAA,gpuTailP99Ms,7.9,-0.29999999999999893,-2.299999999999999
Current R2,09,DLAA,gpuTailP99Ms,7.9,-0.29999999999999893,-2.299999999999999
Current interrupted,09,DLAA,gpuTailP99Ms,8.2,0.0,-2.0
Current R3,09,DLAA,gpuTailP99Ms,8.1,-0.09999999999999964,-2.0999999999999996
Current R1,09,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,0.4,-0.29999999999999993,-5.3
Current R2,09,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,0.4,-0.29999999999999993,-5.3
Current interrupted,09,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,1.1,0.40000000000000013,-4.6
Current R3,09,DLAA,cpuSingleSpikeFrequency.frequencyPerSecond,0.2,-0.49999999999999994,-5.5
Current R1,09,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R2,09,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current interrupted,09,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R3,09,DLAA,gpuSingleSpikeFrequency.frequencyPerSecond,0.0,0.0,-0.1
Current R1,09,DLAA,cpuSpikeGroups.frequencyPerSecond,8.6,-3.0999999999999996,-2.0
Current R2,09,DLAA,cpuSpikeGroups.frequencyPerSecond,9.2,-2.5,-1.4000000000000004
Current interrupted,09,DLAA,cpuSpikeGroups.frequencyPerSecond,9.8,-1.8999999999999986,-0.7999999999999989
Current R3,09,DLAA,cpuSpikeGroups.frequencyPerSecond,10.0,-1.6999999999999993,-0.5999999999999996
