run,save,context:categories:begin_technique,context:categories:d3d_map,context:categories:dirty_states,context:categories:dlss_evaluate,context:categories:lighting_geometry,context:categories:main_render_depth,context:categories:render_pass_immediate,context:categories:shadow_maps,context:categories:volumetric_shadow_shader_get,context:categories:wait_get_poses,context:kernelParentContext:cbp,context:kernelParentContext:hdtsmp64,context:kernelParentContext:other_or_unresolved,context:nativeByContext:begin_technique,context:nativeByContext:dirty_states,context:nativeByContext:dlss_evaluate,context:nativeByContext:lighting_geometry,context:nativeByContext:main_render_depth,context:nativeByContext:render_pass_immediate,context:nativeByContext:shadow_maps,context:nativeByContext:wait_get_poses,coverageErrorMs,coverageStatus,cpuSpikeEndpointDurationMs,cpuSpikeSampledSharePct,cpuSpikeSampledWeightMs,frames,missingRenderStackMs,process:accepted_draw_dispatch,process:accepted_draw_observer_candidate,process:colour_copy_sanitation,process:compound_frustum,process:d3d_lock_execution,process:guide_encoding,process:input_preparation,process:job_dispatch,process:job_wait_help_execution,process:leaf_csx,process:leaf_d3d11,process:leaf_kernel_sync,process:leaf_ngx_dlss,process:leaf_nvidia_um,process:leaf_openvr,process:leaf_other,process:leaf_skyrim,process:leaf_streamline,process:material_expanded_guard_and_pbr_union,process:material_expanded_guard_union,process:material_guard_union,process:material_legacy_guard_union,process:material_logger_descendant_in_guard,process:material_named_material_leaf,process:material_pbr_predicate,process:material_probe,process:material_rejection_logger,process:material_should_skip,process:native_resolved_render,process:native_stereo_boundary,process:native_unresolved,process:per_eye_submit,process:presentation_mutex_candidate,process:readback_wrapper,process:relatch_service,process:render_wrapper,process:retain_light,process:retain_scene,process:retention_allocator,process:retention_folded_reference_candidate,process:retention_hash,process:retention_reference,process:retention_spin,process:retention_vector,process:sphere_A,process:sphere_B,process:submit_upscaled_frame,process:temporal_union,process:truepbr_material_predicate,process:vendor_evaluate,processSampled,ready,recordedFps,render:accepted_draw_dispatch,render:accepted_draw_observer_candidate,render:colour_copy_sanitation,render:compound_frustum,render:d3d_lock_execution,render:guide_encoding,render:input_preparation,render:job_dispatch,render:job_wait_help_execution,render:leaf_csx,render:leaf_d3d11,render:leaf_kernel_sync,render:leaf_ngx_dlss,render:leaf_nvidia_um,render:leaf_openvr,render:leaf_other,render:leaf_skyrim,render:leaf_streamline,render:material_expanded_guard_and_pbr_union,render:material_expanded_guard_union,render:material_guard_union,render:material_legacy_guard_union,render:material_logger_descendant_in_guard,render:material_named_material_leaf,render:material_pbr_predicate,render:material_probe,render:material_rejection_logger,render:material_should_skip,render:native_resolved_render,render:native_stereo_boundary,render:native_unresolved,render:per_eye_submit,render:presentation_mutex_candidate,render:readback_wrapper,render:relatch_service,render:render_wrapper,render:retain_light,render:retain_scene,render:retention_allocator,render:retention_folded_reference_candidate,render:retention_hash,render:retention_reference,render:retention_spin,render:retention_vector,render:sphere_A,render:sphere_B,render:submit_upscaled_frame,render:temporal_union,render:truepbr_material_predicate,render:vendor_evaluate,renderRunning,renderSampled,unresolvedCsxMs,wait
Balanced 1,08,1.8794085000000003,0.692565666666666,0.5505635000000005,0.10671766666666666,0.638618666666667,0.8280926666666666,6.03686433333333,3.501048500000004,,0.17677733333333331,0.9041361666666667,0.6917183333333335,3.038056499999999,1.1186286666666667,0.2871191666666666,,0.31187416666666673,0.1786046666666667,2.488498500000003,1.0680938333333343,0.0016666666666666668,0.4673000010625401,PASS,0.0,0.0,0.0,600,26.426000000000002,,,0.0016666666666666668,0.015005833333333331,,,0.0033350000000000007,0.5336990000000001,0.0016681666666666665,1.6542281666666652,1.2603688333333325,6.738149833333335,0.051689,3.7634090000000007,0.13026649999999998,4.628408833333336,11.680852166666657,0.015004333333333331,0.12841849999999996,0.12841849999999996,0.12841849999999996,0.12841849999999996,0.0,0.12174949999999995,0.0,0.09671716666666667,0.0,0.12841849999999996,,0.1303965,11.680852166666657,0.12539266666666665,0.0016666666666666668,0.05007466666666666,,0.0016666666666666668,0.0116815,0.013353333333333333,0.006673333333333332,0.001674833333333333,,,,,0.06668549999999998,,,0.051741333333333334,,0.10671766666666666,29.922376666666622,0.054032666669219985,60.0,,,0.0016666666666666668,0.006672500000000001,,,0.0033350000000000007,,0.0016681666666666665,1.6275251666666655,1.2537021666666655,1.4263306666666675,0.051689,0.5527268333333333,0.12526649999999998,1.4603625000000002,6.101219499999992,0.015004333333333331,0.12841849999999996,0.12841849999999996,0.12841849999999996,0.12841849999999996,0.0,0.12174949999999995,0.0,0.09671716666666667,0.0,0.12841849999999996,,0.1303965,6.101219499999992,0.12539266666666665,0.0016666666666666668,0.05007466666666666,,0.0016666666666666668,0.0116815,0.013353333333333333,0.006673333333333332,0.001674833333333333,,,,,0.035018833333333325,,,0.051741333333333334,,0.10671766666666666,12.585555499999455,12.61382666666668,0.0,4.027857333333096
Balanced 1,11,0.6822908325537884,0.4638109448082317,0.32550982226379793,0.1179173994387278,0.5170848456501406,0.9910763330215149,2.8720371375116858,0.2616069223573434,0.3686316183348925,0.14321412535079517,5.876107577174937,7.41284331150607,3.6600814780168376,0.4585233863423759,0.09945416276894292,,0.24826959775491117,0.3283391019644527,1.0536747427502329,0.19931178671655753,0.002953227315247895,2.1079000014124176,PASS,1241.3692000000651,12.37635897248896,1157.6876999999993,1069,50.232699999999994,,,0.0047528531337698784,0.09357698783910197,,0.013101590271281573,,0.3544970065481759,0.14996108512628623,1.0295257249766134,0.7344815715622083,20.241276239476147,0.041172310570626744,2.8057245088868097,0.11183666978484566,7.823947895229185,13.529560898035534,0.019746585594013096,0.04979382600561272,0.04979382600561272,0.04979382600561272,0.04979382600561272,0.0,0.04979382600561272,0.0,0.04131066417212348,0.0,0.04979382600561272,,0.7680021515434985,13.529560898035534,0.7670665107577173,,0.033171842843779234,,0.0018752104770813844,0.022620954162768943,0.023560056127221705,0.003829373246024322,,0.003745463049579046,,0.0018734331150608045,,,0.3617869971936389,0.26763199251637065,0.03504705332086062,,0.1179173994387278,46.33727240411608,0.16296127221728496,106.9,,,0.0047528531337698784,0.003742376052385407,,0.013101590271281573,,0.02661927034611787,0.14996108512628623,1.0181579981290922,0.7278428437792337,1.678704583723106,0.041172310570626744,0.6433370439663237,0.1043531337698784,1.214631150608046,3.302311506080447,0.019746585594013096,0.04979382600561272,0.04979382600561272,0.04979382600561272,0.04979382600561272,0.0,0.04979382600561272,0.0,0.04131066417212348,0.0,0.04979382600561272,,0.7680021515434985,3.302311506080447,0.7670665107577173,,0.033171842843779234,,0.0018752104770813844,0.022620954162768943,0.023560056127221705,0.003829373246024322,,0.003745463049579046,,0.0018734331150608045,,,0.008595790458372311,0.26763199251637065,0.03504705332086062,,0.1179173994387278,8.65502217025383,8.75025715622075,0.0,0.5385253507949409
Balanced 1,09,0.8876803125000002,0.4613992708333333,0.37875270833333347,0.10841937500000003,0.22395302083333327,0.4313865625,3.764867812499998,2.9134798958333374,,0.14067645833333337,1.0831727083333331,0.6201625,2.719912708333333,0.41286583333333354,0.2066465625,,0.08646052083333328,0.07708604166666663,1.3341414583333326,0.8790176041666665,0.004167187500000001,1.2884999959951529,PASS,633.2077999999797,6.405910674713964,554.8354999999999,960,36.1386,,,0.002084270833333333,0.008333333333333333,,,0.005208541666666667,0.8452385416666669,,1.1304953124999995,0.9850950000000004,6.306586875000002,0.03966708333333333,3.8256307291666656,0.1011634375,4.5998907291666695,6.911606770833324,0.019793229166666662,0.11075635416666672,0.11075635416666672,0.11075635416666672,0.11075635416666672,0.0,0.10555531250000003,0.0,0.08566145833333333,0.0,0.11075635416666672,,1.3506063541666662,6.911606770833324,1.3485231249999998,,0.05042635416666666,,0.0020834375,0.007306666666666667,0.007306666666666667,0.003125520833333333,,0.0010419791666666665,,,0.0010416666666666667,,0.015625,,0.05250979166666665,,0.10841937500000003,23.91992916666669,0.058621145830913456,96.0,,,0.002084270833333333,,,,0.005208541666666667,,,1.1211034374999995,0.9767616666666671,1.4161233333333334,0.03966708333333333,1.3191271874999997,0.0949134375,1.1694581249999996,2.865245833333332,0.019793229166666662,0.11075635416666672,0.11075635416666672,0.11075635416666672,0.11075635416666672,0.0,0.10555531250000003,0.0,0.08566145833333333,0.0,0.11075635416666672,,1.3506063541666662,2.865245833333332,1.3485231249999998,,0.05042635416666666,,0.0020834375,0.007306666666666667,0.007306666666666667,0.003125520833333333,,0.0010419791666666665,,,0.0010416666666666667,,,,0.05250979166666665,,0.10841937500000003,9.014260416663527,9.022193333333357,0.0,1.3451272916680541
Balanced 1,12,0.7202830954994507,0.5109030735455542,0.3271228320526893,0.14391229418221743,0.6148335894621296,1.3475822173435787,3.305816904500544,0.5307192096597146,0.5275466520307353,0.19391009879253562,1.4406216245883654,0.7460045005488473,3.0822139407244817,0.4871691547749727,0.10794983534577392,0.0010981339187705818,0.2990593852908891,0.5733167947310646,1.137030186608124,0.40958671789242584,0.004481119648737651,7.925100028178349,PASS*,575.0504999996906,5.873100564943483,555.9398999999995,911,32.133199999999995,,,0.0010987925356750821,0.42252634467618005,,0.00658913282107574,,0.33479055982436884,0.34864270032930855,1.1070182217343578,0.8322587266739854,8.234438090010984,0.047265751920965965,3.1028938529088945,0.1458251372118551,8.216828320526908,18.054019758507106,0.024193194291986832,0.05937958287596047,0.05937958287596047,0.05937958287596047,0.05937958287596047,0.0,0.05828155872667398,0.0,0.04838979143798024,0.0,0.05937958287596047,,0.5147140504939626,18.054019758507106,0.5125182217343577,0.0010981339187705818,0.02856059275521405,,0.0033654226125137215,0.028647749725576283,0.029745444566410532,0.014312623490669595,0.0010976948408342481,0.005489132821075741,,,0.0010976948408342481,,1.7965630076838643,0.311980461031833,0.031926015367727774,,0.14391229418221743,39.764741053787084,0.05527936336190312,91.1,,,0.0010987925356750821,0.029770472008781558,,0.00658913282107574,,0.14860274423710207,0.34864270032930855,1.0958969264544458,0.8267702524698141,1.7885671789242614,0.047265751920965965,0.44028803512623477,0.13697047200878154,1.2947525795828767,4.738124588364434,0.021997804610318333,0.05937958287596047,0.05937958287596047,0.05937958287596047,0.05937958287596047,0.0,0.05828155872667398,0.0,0.04838979143798024,0.0,0.05937958287596047,,0.5147140504939626,4.738124588364434,0.5125182217343577,0.0010981339187705818,0.02856059275521405,,0.0033654226125137215,0.028647749725576283,0.029745444566410532,0.014312623490669595,0.0010976948408342481,0.005489132821075741,,,0.0010976948408342481,,0.1168032930845225,0.311980461031833,0.031926015367727774,,0.14391229418221743,10.38487793633454,10.390633589462125,0.0,0.5454904500600657
Balanced 1,10,1.2906616331096203,0.5961496644295298,0.5079039149888142,0.13316185682326623,0.34897595078299765,0.5055810961968682,4.840800559284116,3.6462885906040206,,0.1532468680089485,5.688610178970901,6.639369351230422,3.496100335570473,0.6688574944071592,0.27625514541387014,0.0011185682326621924,0.14875704697986578,0.09508937360178973,1.846630313199102,1.1430809843400436,0.0011190156599552572,0.22950003533696872,PASS,0.0,0.0,0.0,894,78.05850000000002,,,,,,,0.008948434004474272,0.7263004474272932,0.0011185682326621924,1.471831096196869,1.078655592841163,18.14137348993285,0.044763087248322155,3.453597203579416,0.10766565995525727,6.438672035794187,8.836172035794176,0.019022595078299776,0.16553903803131984,0.16553903803131984,0.16553903803131984,0.16553903803131984,0.0,0.15099541387024595,0.0,0.12191353467561516,0.0,0.16553903803131984,,0.1271903803131991,8.836172035794176,0.12495190156599549,,0.007824384787472036,,0.0011191275167785233,0.008946868008948545,0.008946868008948545,0.005591275167785234,,0.0022365771812080533,,,,,,,0.00894351230425056,,0.13316185682326623,39.59175279642061,0.05401073828839866,89.4,,,,,,,0.008948434004474272,,0.0011185682326621924,1.448345190156601,1.0696738255033553,1.5264525727069322,0.044763087248322155,0.45119306487695743,0.09759854586129753,1.5531758389261743,4.5616784116331,0.019022595078299776,0.16553903803131984,0.16553903803131984,0.16553903803131984,0.16553903803131984,0.0,0.15099541387024595,0.0,0.12191353467561516,0.0,0.16553903803131984,,0.1271903803131991,4.5616784116331,0.12495190156599549,,0.007824384787472036,,0.0011191275167785233,0.008946868008948545,0.008946868008948545,0.005591275167785234,,0.0022365771812080533,,,,,,,0.00894351230425056,,0.13316185682326623,10.754279418347453,10.771903131991088,0.0,0.3776488814349945
Balanced 1,13,1.7690458904109563,1.0054546232876715,0.5981176369863015,0.1370563356164384,1.3376255136986304,3.0422736301369864,7.3197489726027305,0.404831506849315,1.0904095890410959,0.16486130136986304,0.863752910958904,0.6618344178082193,3.1265083904109594,1.2928479452054775,0.2536496575342464,,0.6593618150684941,1.2259111301369872,2.9235522260274007,0.3362080479452055,,1.1393000141088123,PASS,2766.287499999862,28.436961493224697,2710.8010999999974,584,29.004400000000004,,,0.006852568493150685,0.7408133561643835,,0.0034260273972602736,,0.31773698630136993,0.36088972602739744,2.221664726027397,1.5189741438356152,7.62397277397259,0.04796883561643835,4.380024486301374,0.17683595890410958,5.241965239726031,21.8188498287671,0.018835616438356163,0.0995544520547945,0.0995544520547945,0.0995544520547945,0.0995544520547945,0.0,0.09955462328767122,0.0,0.0858583904109589,0.0,0.0995544520547945,,0.4237874999999999,21.8188498287671,0.4203614726027396,0.0017131849315068493,,,0.005136301369863014,0.015420205479452054,0.015420205479452054,0.01199708904109589,0.0017123287671232876,0.0034273972602739725,,,,,3.2435948630136995,0.28953184931506837,0.005136301369863014,,0.1370563356164384,43.04909160958904,0.04886592467381536,58.4,,,0.006852568493150685,0.11522722602739728,,0.0034260273972602736,,0.17168099315068486,0.36088972602739744,2.180115068493149,1.50869315068493,2.1533876712328763,0.04796883561643835,0.639685616438356,0.16137140410958906,1.7709366438356182,7.843779794520552,0.017123287671232876,0.0995544520547945,0.0995544520547945,0.0995544520547945,0.0995544520547945,0.0,0.09955462328767122,0.0,0.0858583904109589,0.0,0.0995544520547945,,0.4237874999999999,7.843779794520552,0.4203614726027396,0.0017131849315068493,,,0.005136301369863014,0.015420205479452054,0.015420205479452054,0.01199708904109589,0.0017123287671232876,0.0034273972602739725,,,,,0.4396467465753424,0.28953184931506837,0.005136301369863014,,0.1370563356164384,16.271898287670176,16.323061472602777,0.0,0.8044743150774271
Performance,08,1.814339065108516,0.8788844741235395,0.5561459098497493,0.11858981636060101,0.6881774624373959,0.8154382303839732,6.334667278797987,3.73310801335559,,0.16193005008347247,6.586861435726214,8.727455759599303,3.9583417362270463,1.1104622704507507,0.30728848080133564,0.0016702838063439064,0.30900701168614364,0.18704373956594322,2.5224580968280477,1.1101484140233724,0.00333889816360601,0.161300000605479,PASS,183.29949999998973,2.183241770989503,180.4399000000001,599,58.177099999999996,,,0.00167212020033389,0.021702838063439065,,,0.00167212020033389,0.5294904841402337,,1.685379966611017,1.4477442404006682,21.922454757929877,0.040089816360601,3.9792200333889807,0.11240734557595992,6.650395993322209,13.339807846410665,0.010021869782971619,0.11711836393989984,0.11711836393989984,0.11711836393989984,0.11711836393989984,0.0,0.11545008347245411,0.0,0.08704207011686145,0.0,0.11711836393989984,,0.1305924874791319,13.339807846410665,0.1272517529215359,0.0016702838063439064,0.05349015025041736,,0.003391819699499165,0.015101502504173622,0.015101502504173622,0.00507262103505843,,0.00333889816360601,,,,0.07348196994991651,,,0.056881969949916525,,0.11858981636060101,49.187521869783026,0.09875358931576242,59.9,,,0.00167212020033389,0.00667779632721202,,,0.00167212020033389,,,1.656655926544239,1.4410664440734562,1.7005208681135238,0.040089816360601,0.6718951585976627,0.10571051752921534,1.6041534223706162,6.567497829716182,0.010021869782971619,0.11711836393989984,0.11711836393989984,0.11711836393989984,0.11711836393989984,0.0,0.11545008347245411,0.0,0.08704207011686145,0.0,0.11711836393989984,,0.1305924874791319,6.567497829716182,0.1272517529215359,0.0016702838063439064,0.05349015025041736,,0.003391819699499165,0.015101502504173622,0.015101502504173622,0.00507262103505843,,0.00333889816360601,,,,0.030055759599332214,,,0.056881969949916525,,0.11858981636060101,13.823393155259964,13.797611853088465,0.0,2.7726133555922288
Performance,11,0.7281152679474212,0.44948068756319465,0.32260535894843256,0.13556491405460064,0.5719937310414565,1.0876364004044485,3.1099903943377156,0.25921142568250755,0.43175965621840234,0.15558008088978773,7.208328311425669,9.22339888776541,4.157492214357936,0.5231256825075831,0.11464024266936296,0.0010127401415571285,0.2775268958543984,0.3492396359959554,1.1494755308392308,0.21217785642062692,0.0031178968655207278,1.8630000085940992,PASS,1191.5439999999649,11.852612668397665,1080.568999999999,989,59.405899999999995,,,0.004043781597573307,0.08511476238624874,,0.006067340748230536,,0.2829158746208291,0.1420593528816987,1.1331679474216372,0.7778734074823046,24.319091102123405,0.048545601617795746,2.6718875631951478,0.10962952477249749,9.986919009100097,14.287779069767423,0.018209302325581395,0.05557512639029325,0.05557512639029325,0.05557512639029325,0.05557512639029325,0.0,0.05254641051567242,0.0,0.046479373104145606,0.0,0.05557512639029325,,0.5816978766430736,14.287779069767423,0.5816978766430736,,0.027603336703741155,,0.0010111223458038423,0.01733589484327604,0.019358139534883724,0.009166835187057635,0.0020222446916076846,0.003033367037411527,,,,,0.3010906976744186,0.28833933265925155,0.02861445904954499,,0.13556491405460064,53.353102527806286,0.31214954500081693,98.9,,,0.004043781597573307,0.0010900910010111225,,0.006067340748230536,,0.023456825075834173,0.1420593528816987,1.1158086956521729,0.771774014155712,1.7382408493427703,0.048545601617795746,0.4552220424671381,0.10245743174924166,1.457196157735087,3.5116719919110153,0.01719817997977755,0.05557512639029325,0.05557512639029325,0.05557512639029325,0.05557512639029325,0.0,0.05254641051567242,0.0,0.046479373104145606,0.0,0.05557512639029325,,0.5816978766430736,3.5116719919110153,0.5816978766430736,,0.027603336703741155,,0.0010111223458038423,0.01733589484327604,0.019358139534883724,0.009166835187057635,0.0020222446916076846,0.003033367037411527,,,,,0.013303842264914054,0.28833933265925155,0.02861445904954499,,0.13556491405460064,9.164119514664927,9.21811496461072,0.0,0.6368381193116001
Performance,09,0.8996164212910533,0.5153559456398638,0.3786724801812007,0.1359229898074745,0.25034314835787086,0.439649377123443,3.9621524348810913,3.1193450736126866,,0.1506267270668177,1.1227679501698753,0.5704432616081541,2.7561408833522076,0.4151823329558321,0.22005979614949037,0.0011328425821064553,0.11212219705549266,0.07262457531143826,1.4378235560588923,1.0030028312570785,0.0033969422423556057,0.2976999993989011,PASS,200.06749999998874,2.2093489641805104,185.697,883,44.202400000000004,,,,0.0056625141562853904,,,,0.8951687429218574,,1.1630630804077016,1.0445798414496028,6.5372262740656835,0.037386296715741785,3.9738304643261615,0.13070317100792753,5.211255492638736,7.708489807474524,0.028315062287655714,0.08522729331823328,0.08522729331823328,0.08522729331823328,0.08522729331823328,0.0,0.07955526613816534,0.0,0.06363533408833522,0.0,0.08522729331823328,,1.3178731596828985,7.708489807474524,1.315607814269535,0.004529784824462061,0.054693544733861836,,0.004530011325028313,0.006792298980747452,0.007989354473386185,0.0022650056625141564,,0.00459184597961495,,0.0022644394110985277,,,0.014722536806342015,,0.05922355605889015,,0.1359229898074745,25.834849490373642,0.06385141562606,88.3,,,,,,,,,,1.150602265005663,1.0411823329558316,1.3790138165345425,0.037386296715741785,1.3649575311438282,0.12496240090600227,1.2254898074745184,3.1668392978482474,0.028315062287655714,0.08522729331823328,0.08522729331823328,0.08522729331823328,0.08522729331823328,0.0,0.07955526613816534,0.0,0.06363533408833522,0.0,0.08522729331823328,,1.3178731596828985,3.1668392978482474,1.315607814269535,0.004529784824462061,0.054693544733861836,,0.004530011325028313,0.006792298980747452,0.007989354473386185,0.0022650056625141564,,0.00459184597961495,,0.0022644394110985277,,,,,0.05922355605889015,,0.1359229898074745,9.506927066817534,9.518748810872022,0.0,1.7545869762193704
Performance,12,0.6992906392694073,0.5025523972602739,0.3151337899543378,0.150883105022831,0.5540533105022832,1.3729939497716894,3.234131164383559,0.5320498858447491,0.5202779680365296,0.18590057077625566,1.3766550228310501,0.6880047945205481,3.18203207762557,0.452578767123288,0.11474372146118716,0.003425456621004566,0.2827675799086759,0.5565320776255706,1.1168657534246578,0.4014195205479452,0.003469748858447489,5.492400027156691,REVIEW_REQUIRED,616.6320000000383,6.3063809639559025,596.9260000000003,876,52.3018,,,0.007989155251141553,0.4129792237442922,,0.0159837899543379,,0.31839942922374426,0.3598063926940637,1.1334852739726027,0.8358059360730591,8.289094977168952,0.05482876712328766,3.18116803652968,0.14382705479452051,5.523756735159819,18.566189497716916,0.022843150684931507,0.04809977168949773,0.04809977168949773,0.04809977168949773,0.04809977168949773,0.0,0.049241324200913254,0.0,0.04581952054794521,0.0,0.04809977168949773,,0.8394106164383567,18.566189497716916,0.8359833333333337,0.0011484018264840182,0.03437294520547945,,0.001142351598173516,0.025130821917808216,0.027413926940639266,0.010278310502283105,0.00228310502283105,0.00800433789954338,,,,,1.776009703196347,0.32219383561643833,0.035515296803652965,,0.150883105022831,37.75099942922386,0.06333710047925803,87.6,,,0.007989155251141553,0.02421986301369863,,0.0159837899543379,,0.13878698630136985,0.3598063926940637,1.1197202054794522,0.828956621004566,1.8092781963470332,0.05482876712328766,0.6557942922374425,0.13469360730593605,1.337962100456621,4.841207077625575,0.022843150684931507,0.04809977168949773,0.04809977168949773,0.04809977168949773,0.04809977168949773,0.0,0.049241324200913254,0.0,0.04581952054794521,0.0,0.04809977168949773,,0.8394106164383567,4.841207077625575,0.8359833333333337,0.0011484018264840182,0.03437294520547945,,0.001142351598173516,0.025130821917808216,0.027413926940639266,0.010278310502283105,0.00228310502283105,0.00800433789954338,,,,,0.13327248858447488,0.32219383561643833,0.035515296803652965,,0.150883105022831,10.759658904112548,10.805284018264853,0.0,0.5987989726081437
