metric,86d21fc0ae35532829b22d7c18a708ff8e21c1eb,c1f458f0bc9a36f792cae65e9ba353bb7c24b8bc
ledger_label,"renderscale-CSmenu","renderscale-CSmenu"
label,"simple csm; RC166-23 dirty; incomplete 21/25 strict","simple csm; bd4c3c3cb65d / c1f458f0b; 21 physical latches; FSR strict status indeterminate*"
date,"2026-08-28","2026-08-28"
protocol,"simple csm","simple csm"
protocol_status,"incomplete: four native-mode entries emitted no latch request","incomplete: 21/25 physical latches; 12 strict confirmed; 9 NVIDIA FSRHost/FSR3 strict outcomes not determined*; 4 native entries emitted no request"
primary_timing_definition,"qualification dispatch immediately followed by CSMenu apply -> full strict stable presentation and cleanup","qualification dispatch immediately followed by CSMenu apply -> full strict stable presentation and cleanup"
presentation_timing_definition,"qualification dispatch immediately followed by CSMenu apply -> coherent stable presentation","qualification dispatch immediately followed by CSMenu apply -> coherent stable presentation"
literal_menu_close_frame_available,"n/a: automation invoked the CSMenu apply entrypoint without opening or closing the visible menu","n/a: automation invoked the CSMenu apply entrypoint without opening or closing the visible menu"
timing_units,"milliseconds and renderer frames; not FPS","milliseconds and renderer frames; not FPS"
build_id,"bf4f17905339f6a4e2e55a4d364802ad5ffd8e8867a2367bbb9fd30322ae6393","bd4c3c3cb65dc588a3040fa187d842a81bda077fdc4628b8937960a54ebd9197"
build_id_short,"bf4f17905339","bd4c3c3cb65d"
source_commit,"86d21fc0ae35532829b22d7c18a708ff8e21c1eb","c1f458f0bc9a36f792cae65e9ba353bb7c24b8bc"
source_describe,"RC166-23-g86d21fc0a-dirty","v3.19.0-pr39-140-gc1f458f0b-dirty"
source_dirty,"true","true"
configuration,"Release","Release"
shader_cache_abi_id,"a98c367d3e949a8ecad2fa8a27ce7cb91c616089d5695bde27bec0a4d3a6ca13","e5935748127652885753098c9685b6c5677369c8ac1459dacddfc10f00c503d3"
shader_compiler_identity,"d3dcompiler_47.dll:10.0.19041.7663","d3dcompiler_47.dll:10.0.19041.7663"
artifact_sha256,"n/a: runtime artifact verification delegated to deployment harness","n/a: runtime artifact verification delegated to deployment harness"
devbench_version,"1.15.4","1.15.4"
pid,"32900","36516"
port,"8921","8921"
adapter,"NVIDIA GeForce RTX 4090","NVIDIA GeForce RTX 4090"
adapter_vendor_id,"4318","4318"
selected_matrix,"NVIDIA","NVIDIA"
fsr_runtime,"requested fsr4; actual FSRHost/FSR3 host fallback on NVIDIA","requested fsr4; actual FSRHost/FSR3 host fallback on NVIDIA"
scene,"WhiterunDragonsreach","WhiterunDragonsreach"
scenario_owner,"simple-csm-bf4f17905339-20260828T101637251Z","simple-csm-bd4c3c3cb65d-20260828T105557Z"
scenario_run_id,"3","21"
scenario_steps,"199/199","199/199"
scenario_elapsed_ms,"256476","527533"
fixed_wait_ms_per_entry,"5000","5000"
matrix_applies,"25","25"
measured_coc_transitions,"0","0"
queued_latch_requests,"21","21"
strict_stable_completed_expected,"21/25","12/25 checker-confirmed; 9 FSRHost/FSR3 physically Active but strict status not determined*; 4 no-latch"
no_latch_ordinals,"1;15;16;22","1;15;16;22"
strict_timeout_ordinals,"1;15;16;22","no-latch: 1;15;16;22 | checker-only FSR diagnostics excluded from failures*: 8;9;10;11;12;13;17;20;25"
strict_stale_source_ordinals,"1;15;16;22","1"
strict_profile_mismatch_ordinals,"15;22","15;22"
trigger_to_strict_stable_overall_mean_min_max_ms,"505.211/284.048/1005.697; 21/25 completed","943.487/419.938/1756.008; 12/25 confirmed; 9 FSR indeterminate*"
trigger_to_strict_stable_overall_mean_worst_frames,"22.571/34; 21/25 completed","27.250/43; 12/25 confirmed; 9 FSR indeterminate*"
trigger_to_strict_stable_dlss_active_mean_min_max_ms,"645.569/548.440/1005.697; 9/9 completed","1107.406/902.798/1756.008; 9/9 completed"
trigger_to_strict_stable_dlss_active_mean_worst_frames,"23.889/34; 9/9 completed","29.889/43; 9/9 completed"
trigger_to_strict_stable_fsr_active_mean_min_max_ms,"435.502/390.730/498.402; 9/9 completed","n/a*: 9/9 physical latches completed; strict failure status not determined in this run"
trigger_to_strict_stable_fsr_active_mean_worst_frames,"22.444/24; 9/9 completed","n/a*: physical latch mean/worst 10.333/26"
trigger_to_strict_stable_native_completed_mean_min_max_ms,"293.260/284.048/305.834; 3/7 completed","451.728/419.938/486.652; 3/7 completed"
trigger_to_strict_stable_native_completed_mean_worst_frames,"19.0/21; 3/7 completed","19.333/20; 3/7 completed"
trigger_to_presentation_stable_overall_mean_ms,"492.584; 21/25 completed","870.356; 12/25 checker-confirmed; 9 FSR vendor-stable timing indeterminate*"
trigger_to_presentation_stable_dlss_active_mean_ms,"645.569; 9/9 completed","1029.333; 9/9 completed"
trigger_to_presentation_stable_fsr_active_mean_ms,"435.502; 9/9 completed","n/a*: FSRHost vendor presentation observed stable but waiter timing not captured"
trigger_to_presentation_stable_native_completed_mean_min_max_ms,"204.875/172.097/228.799; 3/7 completed","393.426/373.612/431.444; 3/7 completed"
warm_population,"25 matrix entries; 21 actual latches; 21 strict completions; 4 no-latch timeouts","25 matrix entries; 21 physical latches; 12 strict confirmed; 9 FSRHost/FSR3 strict status indeterminate*; 4 no-latch entries"
first_after_load_population,"outside matrix: PostLoadSync DLSS native AA; 24 latch frames; 2 retries","outside matrix: PostLoadSync DLSS native AA; log request-to-Active 63 frames; 0 retries"
first_after_load_trigger_queue_snapshot_relatch_active_frames,"36501/36507/36513/36525","70851 log request (70853 controller queued)/70859/70865/70914"
first_after_load_stabilizing_frame,"n/a: native-AA transitioned directly Applying -> Active","70865"
latch_queue_to_active_overall_mean_worst_frames,"19.429/31; 21 actual latches","16.571/38; 21 physical latches"
